attacker,H,p,k,path_evidence,bvi_verified,bvi_no_verdict,bvi_failed,bvi_detection,bvi_detection_cf,bbca_detection,bbca_detection_cf,false_demotion
worst,5,0.6,2,0.99010,0.78980,0.08955,0.12065,0.35253,0.36000,0.07521,0.07776,0.02229
worst,5,0.65,2,0.99375,0.80310,0.05320,0.14370,0.42394,0.42250,0.11521,0.11603,0.02857
worst,5,0.7,2,0.99770,0.79935,0.03085,0.16980,0.49308,0.49000,0.16725,0.16807,0.03135
worst,5,0.75,2,0.99875,0.79180,0.01560,0.19260,0.55742,0.56250,0.23887,0.23730,0.03722
worst,5,0.8,2,0.99990,0.77310,0.00665,0.22025,0.63668,0.64000,0.33482,0.32768,0.04025
worst,5,0.85,2,0.99990,0.74750,0.00220,0.25030,0.72945,0.72250,0.45220,0.44371,0.04627
worst,5,0.9,2,1.00000,0.71825,0.00045,0.28130,0.80688,0.81000,0.59573,0.59049,0.05347
worst,5,0.95,2,1.00000,0.69145,0.00005,0.30850,0.89670,0.90250,0.77444,0.77378,0.05863
worst,5,1.0,2,1.00000,0.65850,0.00000,0.34150,1.00000,1.00000,1.00000,1.00000,0.06283
worst,8,0.0,2,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
worst,8,0.05,2,0.34150,0.05860,0.94060,0.00080,0.00264,0.00250,0.00000,0.00000,0.00000
worst,8,0.1,2,0.56665,0.17675,0.81945,0.00380,0.01177,0.01000,0.00000,0.00000,0.00043
worst,8,0.15,2,0.73065,0.33365,0.65715,0.00920,0.02657,0.02250,0.00000,0.00000,0.00165
worst,8,0.2,2,0.82935,0.47985,0.50665,0.01350,0.03935,0.04000,0.00000,0.00000,0.00243
worst,8,0.25,2,0.89915,0.61085,0.36705,0.02210,0.06181,0.06250,0.00000,0.00002,0.00487
worst,8,0.3,2,0.94175,0.71740,0.25220,0.03040,0.08595,0.09000,0.00016,0.00007,0.00591
worst,8,0.35,2,0.96620,0.78575,0.17285,0.04140,0.11917,0.12250,0.00017,0.00023,0.00820
worst,8,0.4,2,0.98375,0.83875,0.10595,0.05530,0.16509,0.16000,0.00101,0.00066,0.00903
worst,8,0.45,2,0.99120,0.86740,0.06060,0.07200,0.20820,0.20250,0.00182,0.00168,0.01291
